job_name, mean_salary, max_salary, min_salary, first_grad, second_grad, third_grad, fourth_grad, fiveth_grad, first_department, second_department, third_department, fourth_department, fiveth_department, first_school, second_school, third_school, fourth_school, fiveth_school, first_skill, second_skill, third_skill, fourth_skill, fiveth_skill, number_of_entries 
Fason Takip Sorumlusu, 4.080, 2.850, 5.310,Ýþletme, Tekstil (MYO), Ýktisat, Kamu Yönetimi, Kimya, Tekstil, Ev Eþyalarý, Ticaret, Üretim / Endüstriyel Ürünler, Kimya, Anadolu Üniversitesi, Uludað Üniversitesi, Sakarya Üniversitesi, Pamukkale Üniversitesi, Atatürk Üniversitesi, Dikim,Planlama Ve Organizasyon,Satýþ Yönetimi,SRC4,TEKSTÝL,25,
Fayans Ustasý, 4.690, 3.000, 7.110,Bankacýlýk ve Sigortacýlýk, Ýktisat, Coðrafya, Yapý, Otomotiv, -, -, -, -, -, -, -, -, -, -, Boya,Kaba Ýnþaat,Üst Yapý Ýnþaatlarý,-, -, 10,
Felsefe Grubu Öðretmeni, 2.610, 2.020, 3.190,Sosyoloji, Felsefe, Felsefe Grubu Öðretmenliði, Sosyal Hizmetler, Psikoloji, Eðitim, Danýþmanlýk, Hizmet, Tekstil, Gýda, Sakarya Üniversitesi, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Pamukkale Üniversitesi, Süleyman Demirel Üniversitesi, SPSS,-, -, -, -, 29,
Felsefe Öðretmeni, 2.480, 2.070, 2.890,Felsefe, Sosyoloji, Felsefe Grubu Öðretmenliði, Halkla Ýliþkiler, Eðitim Bilimleri, Eðitim, Danýþmanlýk, Tekstil, Hizmet, Reklam ve Tanýtým, Sakarya Üniversitesi, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Uludað Üniversitesi, Kýrklareli Üniversitesi, Ýnsan Kaynaklarý,SPSS,-, -, -, 12,
Fen Bilgisi Öðretmeni, 3.070, 2.090, 4.060,Fen Bilgisi Öðretmenliði, Biyoloji, Fizik, Kimya, Fizik Öðretmenliði, Eðitim, Danýþmanlýk, Saðlýk, Hizmet, Tekstil, Gazi Üniversitesi, Ondokuz Mayýs Üniversitesi, Manisa Celal Bayar Üniversitesi, Karadeniz Teknik Üniversitesi (KTÜ), Atatürk Üniversitesi, Adobe Photoshop,Proje Yönetimi,-, -, -, 206,
Fen Ýþleri Müdürü, 6.330, 5.500, 8.500,Ýnþaat Mühendisliði, Harita Kadastro (MYO), Mimarlýk, Ýnþaat (MYO), Çevre Mühendisliði, Yapý, Hizmet, Elektrik & Elektronik, Üretim / Endüstriyel Ürünler, Gýda, Karadeniz Teknik Üniversitesi (KTÜ), Yýldýz Teknik Üniversitesi (YTÜ), Çukurova Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), Harran Üniversitesi, ArcGIS,AutoCAD,Autodesk 3Ds Max,Autodesk Revit,C++,3,
Fen ve Teknoloji Öðretmeni, 3.140, 2.500, 3.990,Fen Bilgisi Öðretmenliði, Fizik, Biyoloji, Kimya, Fizik Öðretmenliði, Eðitim, Danýþmanlýk, Hizmet, Saðlýk, Basým - Yayýn, Gazi Üniversitesi, Ondokuz Mayýs Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Atatürk Üniversitesi, Ticaret,Bilgisayar,Microsoft Office,Müzik,•	Deadline And Target Driven,9,
Ferforje Ustasý, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Figüran, -, -, -, Ýktisat, Elektrik/Elektronik Mühendisliði, Radyo - Sinema ve Televizyon, Ýþletme Yönetimi, Radyo ve Televizyon, Eðlence - Kültür - Sanat, Reklam ve Tanýtým, Medya, Hizmet, Eðitim, Anadolu Üniversitesi, Kocaeli Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Akdeniz Üniversitesi, Ýstanbul Geliþim Üniversitesi, Adobe Photoshop,MATLAB,-, -, -, -,
Finans Danýþmaný, 3.720, 2.020, 5.800,Ýþletme, Ýktisat, Bankacýlýk ve Sigortacýlýk (MYO), Kamu Yönetimi, Maliye, Sigortacýlýk, Finans - Ekonomi, Danýþmanlýk, Yapý, Hizmet, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Uludað Üniversitesi, Gazi Üniversitesi, Bankacýlýk/Finans,Bütçe planlama ve raporlama,Cari Hesap ve Finans Takibi,Dýþ Ticaret,Finans,59,
Finans Direktörü, 10.930, 5.740, 16.120,Ýþletme, Ýktisat, Ýþletme (Ýngilizce), Ekonomi, Ýktisat (Ýngilizce), Yapý, Turizm, Enerji, Saðlýk, Biliþim, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Anadolu Üniversitesi, Orta Doðu Teknik Üniversitesi (ODTÜ), Boðaziçi Üniversitesi, Bilanço analizi,Bütçe planlama ve raporlama,Cari Hesap ve Finans Takibi,Finans,Finansal Analiz,152,
Finans Genel Müdür Yardýmcýsý, 6.900, 4.000, 12.620,Ýþletme, Ýktisat, Ekonomi, Maliye, Ýþletme (Ýngilizce), Yapý, Taþýmacýlýk, Enerji, Tekstil, Finans - Ekonomi, Marmara Üniversitesi, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Boðaziçi Üniversitesi, Dokuz Eylül Üniversitesi, Bankacýlýk/Finans,Bütçe planlama ve raporlama,Finans,Finansal planlama/kontrol,Finansal Raporlama,16,
Finans Koordinatörü, 6.650, 3.000, 10.430,Ýþletme, Ýktisat, Ekonomi, Ýþletme (Ýngilizce), Maliye, Yapý, Gýda, Hizmet, Finans - Ekonomi, Enerji, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Dokuz Eylül Üniversitesi, Gazi Üniversitesi, Uludað Üniversitesi, Bankacýlýk/Finans,Bilanço analizi,Bütçe planlama ve raporlama,Cari Hesap ve Finans Takibi,Finans,19,
Finans Müdürü, 7.980, 3.270, 12.690,Ýþletme, Ýktisat, Ýþletme (Ýngilizce), Maliye, Ýktisat (Ýngilizce), Yapý, Gýda, Tekstil, Otomotiv, Maden ve Metal Sanayi, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Dokuz Eylül Üniversitesi, Uludað Üniversitesi, Bilanço analizi,Bireysel Krediler,Bütçe planlama ve raporlama,Cari Hesap Ýþlemleri,Cari Hesap ve Finans Takibi,331,
Finans Sorumlusu, 3.910, 2.240, 5.590,Ýþletme, Ýktisat, Muhasebe (MYO), Muhasebe, Maliye, Yapý, Otomotiv, Gýda, Tekstil, Hizmet, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Uludað Üniversitesi, Dumlupýnar Üniversitesi, Marmara Üniversitesi, Bankacýlýk/Finans,Bütçe planlama ve raporlama,Cari Hesap Ýþlemleri,Cari Hesap ve Finans Takibi,Çek-senet mevzuatý,270,
Finans Uzmaný, 4.050, 2.480, 5.620,Ýþletme, Ýktisat, Muhasebe (MYO), Maliye, Muhasebe, Yapý, Finans - Ekonomi, Otomotiv, Enerji, Gýda, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Uludað Üniversitesi, Kocaeli Üniversitesi, Bankacýlýk/Finans,Cari Hesap Ýþlemleri,Cari Hesap ve Finans Takibi,Çek-senet mevzuatý,Finans,344,
Finans Yöneticisi / Yönetmeni, 5.950, 3.290, 8.610,Ýþletme, Ýktisat, Maliye, Ýþletme (Ýngilizce), Muhasebe (MYO), Yapý, Finans - Ekonomi, Gýda, Tekstil, Taþýmacýlýk, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Uludað Üniversitesi, Dokuz Eylül Üniversitesi, Bilanço analizi,Bütçe planlama ve raporlama,Cari Hesap Ýþlemleri,Cari Hesap ve Finans Takibi,Çek-senet mevzuatý,54,
Finansal Analist, 6.340, 2.540, 10.150,Ýþletme, Ýktisat, Ýþletme (Ýngilizce), Ýktisat (Ýngilizce), Ekonomi, Finans - Ekonomi, Danýþmanlýk, Saðlýk, Hýzlý Tüketim Mallarý, Otomotiv, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Boðaziçi Üniversitesi, Orta Doðu Teknik Üniversitesi (ODTÜ), Dokuz Eylül Üniversitesi, Bankacýlýk/Finans,Bütçe planlama ve raporlama,Finans,Finansal Analiz,Finansal planlama/kontrol,43,
Finansal Danýþman, 3.700, 2.020, 6.250,Ýþletme, Ýktisat, Bankacýlýk ve Sigortacýlýk (MYO), Bankacýlýk ve Sigortacýlýk, Kamu Yönetimi, Sigortacýlýk, Finans - Ekonomi, Danýþmanlýk, Hizmet, Saðlýk, Anadolu Üniversitesi, Kocaeli Üniversitesi, Manisa Celal Bayar Üniversitesi, Selçuk Üniversitesi, Süleyman Demirel Üniversitesi, Bankacýlýk/Finans,Cari Hesap ve Finans Takibi,Finans,Finansal Analiz,Finansal planlama/kontrol,26,
Finansal Güvence Danýþmaný, 3.380, 2.060, 4.690,Ýþletme, Ýktisat, Bankacýlýk ve Sigortacýlýk (MYO), Bankacýlýk ve Sigortacýlýk, Kamu Yönetimi, Sigortacýlýk, Danýþmanlýk, Finans - Ekonomi, Hizmet, Tekstil, Anadolu Üniversitesi, Dumlupýnar Üniversitesi, Süleyman Demirel Üniversitesi, Selçuk Üniversitesi, Akdeniz Üniversitesi, Finansal Analiz,Finansal planlama/kontrol,Finansal Risk Yönetimi,Ýnsan Kaynaklarý Yönetimi,Muhasebe,26,
Finansal Kontrolör, 8.100, 3.560, 12.650,Ýþletme, Ýþletme (Ýngilizce), Ýktisat, Ýktisat (Ýngilizce), Ekonomi, Otomotiv, Finans - Ekonomi, Yapý, Gýda, Telekomünikasyon, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Anadolu Üniversitesi, Orta Doðu Teknik Üniversitesi (ODTÜ), Dokuz Eylül Üniversitesi, Bütçe planlama ve raporlama,Cari Hesap ve Finans Takibi,Finans,Finansal Analiz,Finansal planlama/kontrol,82,
Finansal Planlama Uzmaný, 11.150, 8.270, 14.950,Endüstri Mühendisliði, Ekonomi, Ýþletme, Ekonometri, Ýktisat (Ýngilizce), Finans - Ekonomi, Enerji, Hýzlý Tüketim Mallarý, Sigortacýlýk, Gýda, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), Orta Doðu Teknik Üniversitesi (ODTÜ), Kocaeli Üniversitesi, Bankacýlýk/Finans,Bütçe planlama ve raporlama,Finansal Analiz,Finansal planlama/kontrol,Finansal Raporlama,3,
Finansal Raporlama Uzmaný, 6.730, 3.620, 9.830,Ýþletme, Ýktisat, Ýþletme (Ýngilizce), Ýktisat (Ýngilizce), Ekonomi, Finans - Ekonomi, Hizmet, Topluluklar, Yapý, Enerji, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Ýhsan Doðramacý Bilkent Üniversitesi, Dokuz Eylül Üniversitesi, Anadolu Üniversitesi, Bütçe planlama ve raporlama,Finans,Finansal Analiz,Finansal planlama/kontrol,Finansal Raporlama,34,
Finansman Müdürü, 7.090, 3.500, 10.680,Ýþletme, Ýktisat, Maliye, Kamu Yönetimi, Ekonomi, Yapý, Tekstil, Maden ve Metal Sanayi, Gýda, Otomotiv, Anadolu Üniversitesi, Dokuz Eylül Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Gazi Üniversitesi, Bilanço analizi,Bütçe planlama ve raporlama,Cari Hesap Ýþlemleri,Cari Hesap ve Finans Takibi,Çek-senet mevzuatý,12,
Fitness Eðitmeni, 3.070, 2.020, 4.320,Antrenörlük Eðitimi, Beden Eðitimi ve Spor Öðretmenliði, Spor Yöneticiliði, Rekreasyon Yönetimi, Ýþletme, Turizm, Eðitim, Saðlýk, Hizmet, Eðlence - Kültür - Sanat, Anadolu Üniversitesi, Marmara Üniversitesi, Kocaeli Üniversitesi, Haliç Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Spor,Futbol,Yüzme,Basketbol,Fitness,56,
Fitopatoloji Teknikeri, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Fiyatlandýrma Analisti, 4.930, 3.000, 7.250,Endüstri Mühendisliði, Ýþletme, Turizm Ýþletmeciliði, Kimya Mühendisliði, Ýktisat (Ýngilizce), Turizm, Sigortacýlýk, Taþýmacýlýk, Saðlýk, Enerji, Ýstanbul Teknik Üniversitesi (ÝTÜ), Beykent Üniversitesi, Kocaeli Üniversitesi, Mustafa Kemal Üniversitesi, Yeditepe Üniversitesi, Attention To Detail,C#,CRM,Depo Ve Lojistik Yönetimi,Ýþ ve süreç analizi,9,
Fiyatlandýrma Uzmaný, 4.350, 2.500, 6.580,Endüstri Mühendisliði, Ýþletme, Ýktisat, Ýstatistik, Ýktisat (Ýngilizce), Taþýmacýlýk, Saðlýk, Turizm, Otomotiv, Telekomünikasyon, Anadolu Üniversitesi, Marmara Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Dokuz Eylül Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Bütçe planlama ve raporlama,Bütçeleme Analizleri,Fiyat Analizleri,Ýþ ve süreç analizi,Pazarlama Stratejisi,34,
Fiyatlandýrma ve Kampanya Uzmaný, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Fiyatlandýrma ve Kampanya Yöneticisi, 3.150, 2.020, 6.070,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 3,
Fizibilite Uzmaný, 5.750, 4.800, 6.720,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 4,
Fizik Mühendisi, 5.180, 3.270, 7.100,Fizik Mühendisliði, Fizik, Nükleer Enerji Mühendisliði, Ýnþaat (MYO), Medya ve Ýletiþim , Saðlýk, Hizmet, Üretim / Endüstriyel Ürünler, Elektrik & Elektronik, Eðitim, Gaziantep Üniversitesi, Hacettepe Üniversitesi, Ankara Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), Orta Doðu Teknik Üniversitesi (ODTÜ), Adobe Illustrator,AutoCAD,C Programming Language,CorelDraw,Kalibrasyon,7,
Fizik Öðretmeni, 3.590, 2.290, 4.880,Fizik, Fizik Öðretmenliði, Fizik Mühendisliði, Fen Bilgisi Öðretmenliði, Fen Bilimleri, Eðitim, Danýþmanlýk, Hizmet, Gýda, Biliþim, Ýstanbul Üniversitesi (ÝÜ), Gazi Üniversitesi, Karadeniz Teknik Üniversitesi (KTÜ), Marmara Üniversitesi, Ondokuz Mayýs Üniversitesi, MATLAB,Photoshop,Proje Yönetimi,-, -, 245,
Fizik Tedavi Teknikeri , 2.270, 2.020, 2.600,Fizik Tedavi (MYO), Fizyoterapi ve Rehabilitasyon, Fizik Tedavi ve Rehabilitasyon, Hidroterapi (MYO), Protez ve Ortez (MYO), Saðlýk, Hizmet, Sigortacýlýk, Eðitim, Turizm, Afyon Kocatepe Üniversitesi, Ondokuz Mayýs Üniversitesi, Ýstanbul Aydýn Üniversitesi, Üsküdar Üniversitesi , Ýstanbul Arel Üniversitesi, Ýþçi Saðlýðý ve Ýþ Güvenliði,-, -, -, -, 66,
Fizik Tedavi Uzmaný, -, -, -, Fizik Tedavi ve Rehabilitasyon, Týp, Fizyoterapi ve Rehabilitasyon, Çocuk Geliþimi ve Eðitimi, Beden Eðitimi ve Spor Öðretmenliði, Saðlýk, Danýþmanlýk, Hizmet, Eðitim, Hayvancýlýk, Ýstanbul Üniversitesi (ÝÜ), Hacettepe Üniversitesi, Çukurova Üniversitesi, Ankara Üniversitesi, Sofya Ulusal Spor Akademisi, Basketbol Oynamak,Sinemaya Gitmek,Güler Yüz,Yüzme,Tiyatro,-,
Fizik Tedavi ve Rehabilitasyon Uzmaný, 12.750, 7.500, 18.500,Týp, Fizik Tedavi ve Rehabilitasyon, Fizyoterapi ve Rehabilitasyon, Fizik Tedavi (MYO), Beden Eðitimi ve Spor Öðretmenliði, Saðlýk, Hizmet, Eðitim, Sigortacýlýk, Danýþmanlýk, Ýstanbul Üniversitesi (ÝÜ), Ankara Üniversitesi, Hacettepe Üniversitesi, Ege Üniversitesi, Akdeniz Üniversitesi, Ýþ Zekasý,-, -, -, -, 11,
Fizyoterapi Teknikeri, 2.550, 2.020, 3.080,Fizyoterapi ve Rehabilitasyon, Fizik Tedavi (MYO), Fizik Tedavi ve Rehabilitasyon, Engelli Bakýmý ve Rehabilitasyon, Hidroterapi (MYO), Saðlýk, Hizmet, Sigortacýlýk, Eðitim, Tekstil, Biruni Üniversitesi, Ýstanbul Arel Üniversitesi, Niþantaþý Üniversitesi Meslek Yüksekokulu, Ýstanbul Aydýn Üniversitesi, Ýstanbul Medipol Üniversitesi , Hasta Ýletiþimi,-, -, -, -, 16,
Fizyoterapist, 3.330, 2.290, 4.360,Fizyoterapi ve Rehabilitasyon, Fizik Tedavi ve Rehabilitasyon, Fizik Tedavi (MYO), Protez ve Ortez (MYO), Týp, Saðlýk, Hizmet, Eðitim, Sigortacýlýk, Turizm, Hacettepe Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Dokuz Eylül Üniversitesi, Dumlupýnar Üniversitesi, Baþkent Üniversitesi, Microsoft Office,Manuel Terapi,Müzik,Spor,Yüzme,204,
Flebotomi Uzmaný, 4.920, 3.750, 7.050,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 3,
Fon Yöneticisi, 7.750, 2.320, 17.210,Ýþletme, Ýktisat, Ekonomi, Endüstri Mühendisliði, Ekonometri, Finans - Ekonomi, Danýþmanlýk, Sigortacýlýk, Topluluklar, Reklam ve Tanýtým, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Anadolu Üniversitesi, Boðaziçi Üniversitesi, Ýstanbul Teknik Üniversitesi (ÝTÜ), Finans,Finansal Raporlama,Nakit Yönetimi,Oracle Uygulamalarý,Satýþ Yönetimi,3,
Forex Uzmaný, 4.330, 3.000, 6.070,Ýktisat, Ýþletme, Ekonomi, Sermaye Piyasasý, Ekonometri, -, -, -, -, -, Anadolu Üniversitesi, Uludað Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Kadir Has Üniversitesi, Marmara Üniversitesi, Maliyet Muhasebesi,Satýþ Operasyon,-, -, -, 3,
Forklift Operatörü, 2.800, 2.130, 3.460,Ýþletme, Elektrik (MYO), Otomotiv (MYO), Kamu Yönetimi, Makine (MYO), Taþýmacýlýk, Otomotiv, Gýda, Üretim / Endüstriyel Ürünler, Kimya, Anadolu Üniversitesi, Kocaeli Üniversitesi, Uludað Üniversitesi, Sakarya Üniversitesi, Atatürk Üniversitesi, Depo Operasyon,Depo Stok Takibi,Depo Ve Lojistik Yönetimi,Depo Ve Stok Yönetimi,Forklift,868,
Formen, 4.560, 2.310, 6.810,Elektrik (MYO), Ýþletme, Makine (MYO), Ýnþaat (MYO), Otomotiv (MYO), Yapý, Maden ve Metal Sanayi, Elektrik & Elektronik, Otomotiv, Üretim / Endüstriyel Ürünler, Anadolu Üniversitesi, Kocaeli Üniversitesi, Selçuk Üniversitesi, Afyon Kocatepe Üniversitesi, Gazi Üniversitesi, AutoCAD,Elektrik,Elektrik Kumanda Panolarý,Elektrik Motorlarý,Elektrik/Elektronik,288,
Formülasyon Uzmaný, 5.280, 4.600, 6.330,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 3,
Fotoðraf Editörü, 3.950, 2.500, 5.480,Fotoðraf, Fotoðrafçýlýk ve Kameramanlýk (MYO), Arkeoloji, Fotoðraf ve Video, Gazetecilik, Medya, Basým - Yayýn, Reklam ve Tanýtým, Tekstil, Ticaret, Anadolu Üniversitesi, Marmara Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Kocaeli Üniversitesi, Ýstanbul Aydýn Üniversitesi, Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Bilgisayar Destekli Tasarým Araçlarý,InDesign,13,
Fotoðrafçý, 3.580, 2.020, 5.320,Fotoðrafçýlýk ve Kameramanlýk (MYO), Fotoðraf, Radyo - Sinema ve Televizyon, Ýþletme, Radyo ve Televizyon Programcýlýðý (MYO), Reklam ve Tanýtým, Medya, Turizm, Eðlence - Kültür - Sanat, Tekstil, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Ýstanbul Aydýn Üniversitesi, Marmara Üniversitesi, Kocaeli Üniversitesi, Adobe After Effects,Adobe Illustrator,Adobe Photoshop,Photoshop,-, 122,
Fransýzca Öðretmeni, 3.370, 2.400, 4.500,Fransýzca Öðretmenliði, Fransýz Dili ve Edebiyatý, Mütercim-Tercümanlýk (Fransýzca), Mütercim Tercümanlýk, Eðitim Bilimleri, Eðitim, Tekstil, Danýþmanlýk, Turizm, Hizmet, Ýstanbul Üniversitesi (ÝÜ), Marmara Üniversitesi, Hacettepe Üniversitesi, Gazi Üniversitesi, Anadolu Üniversitesi, Microsoft Office,Müzik,Microsoft Office Word,Tiyatro,Resim,25,
Fraud Uzmaný, 4.360, 2.070, 7.270,Ýþletme, Ýstatistik, Ýktisat, Bilgisayar Teknolojisi ve Programlama (MYO), Ýþletme (MYO), Finans - Ekonomi, Telekomünikasyon, Biliþim, Ticaret, Turizm, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Yýldýz Teknik Üniversitesi (YTÜ), Marmara Üniversitesi, Çanakkale 18 Mart Üniversitesi, Bankacýlýk/Finans,Finansal Risk Yönetimi,Ýþ ve süreç analizi,MS Access,MS SQL Server,26,
Fraud Yöneticisi, 5.650, 4.500, 8.090,-, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, 4,
Freze Operatörü, 3.460, 2.430, 4.480,Makine (MYO), Endüstriyel Kalýpçýlýk (MYO), Makine, Ýþletme, Makine Mühendisliði, Üretim / Endüstriyel Ürünler, Otomotiv, Biliþim, Maden ve Metal Sanayi, Elektrik & Elektronik, Uludað Üniversitesi, Anadolu Üniversitesi, Kocaeli Üniversitesi, Sakarya Üniversitesi, Ege Üniversitesi, AutoCAD,Cnc Freze,Cnc operatör,Cnc Torna,Freze,27,
Fuar Hostesi, -, -, -, Hukuk, Ýktisat, Ýþletme, Çalýþma Ekonomisi ve Endüstri Ýliþkileri, Uluslararasý Ýliþkiler, Reklam ve Tanýtým, Hizmet, Turizm, Gýda, Danýþmanlýk, Ýstanbul Üniversitesi (ÝÜ), Akdeniz Üniversitesi, Marmara Üniversitesi, Uludað Üniversitesi, Beykent Üniversitesi, Adobe Illustrator,Adobe Photoshop,AutoCAD,-, -, -,
Futbol Antrenörü, 3.620, 2.200, 5.210,Antrenörlük Eðitimi, Beden Eðitimi ve Spor Öðretmenliði, Spor Yöneticiliði, Rekreasyon Yönetimi, Spor Bilimleri, Eðitim, Yapý, Hizmet, Basým - Yayýn, Gýda, Ege Üniversitesi, Anadolu Üniversitesi, Marmara Üniversitesi, Gazi Üniversitesi, Manisa Celal Bayar Üniversitesi, Futbol,Yüzme,Basketbol,Voleybol,Spor,6,
Garson, 2.500, 2.020, 3.040,Turizm ve Otel Ýþletmeciliði (MYO), Ýþletme, Ýktisat, Turizm Ýþletmeciliði, Turizm Ýþletmeciliði ve Otelcilik, Gýda, Turizm, Eðlence - Kültür - Sanat, Hizmet, Biliþim, Anadolu Üniversitesi, Akdeniz Üniversitesi, Selçuk Üniversitesi, Kocaeli Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Bilgisayar,Microsoft Office,Futbol,Spor,Microsoft Office Word,962,
Gastroenteroloji Uzmaný, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,
Gayrimenkul Danýþmaný, 3.810, 2.020, 5.820,Ýþletme, Emlak ve Emlak Yönetimi (MYO), Ýktisat, Kamu Yönetimi, Dýþ Ticaret (MYO), Hizmet, Yapý, Danýþmanlýk, Gýda, Finans - Ekonomi, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Kocaeli Üniversitesi, Uludað Üniversitesi, Ege Üniversitesi, AutoCAD,Genel Muhasebe,Muhasebe,Satýþ Yönetimi,-, 26,
Gayrimenkul Deðerleme Uzmaný, 4.110, 2.570, 5.660,Ýnþaat Mühendisliði, Ýþletme, Þehir Planlama, Harita Mühendisliði, Ýktisat, Hizmet, Yapý, Finans - Ekonomi, Danýþmanlýk, Gýda, Anadolu Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Selçuk Üniversitesi, Dokuz Eylül Üniversitesi, Gazi Üniversitesi, Adobe Photoshop,ArcGIS,AutoCAD,Bankacýlýk/Finans,Bireysel Portföy Operasyonu,129,
Gayrimenkul Eksperi, 3.540, 2.580, 5.610,Ýnþaat Mühendisliði, Ýþletme, Harita Kadastro (MYO), Þehir Planlama, Ýnþaat (MYO), Hizmet, Yapý, Finans - Ekonomi, Danýþmanlýk, Tarým / Ziraat, Anadolu Üniversitesi, Selçuk Üniversitesi, Dokuz Eylül Üniversitesi, Yýldýz Teknik Üniversitesi (YTÜ), Karadeniz Teknik Üniversitesi (KTÜ), AutoCAD,ideCAD Statik,Ýnþaat Muhasebesi,Ýþçi Saðlýðý ve Ýþ Güvenliði,Konut þantiyesi,5,
Gayrimenkul Geliþtirme Uzmaný, -, -, -, Þehir Planlama, Harita Mühendisliði, Ýnþaat Mühendisliði, Ýþletme, Ýþletme (Ýngilizce), Yapý, Hizmet, Telekomünikasyon, Perakende, Gýda, Ýstanbul Teknik Üniversitesi (ÝTÜ), Yýldýz Teknik Üniversitesi (YTÜ), Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Uludað Üniversitesi, Adobe After Effects,Adobe Photoshop,ArcGIS,AutoCAD,Fizibilite,-,
Gayrimenkul Satýþ Danýþmaný, 3.440, 2.020, 5.150,Ýþletme, Ýktisat, Emlak ve Emlak Yönetimi (MYO), Kamu Yönetimi, Ýþletme Yönetimi, Yapý, Hizmet, Danýþmanlýk, Turizm, Tekstil, Anadolu Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Kocaeli Üniversitesi, Dumlupýnar Üniversitesi, Selçuk Üniversitesi, Adobe Photoshop,CorelDraw,Kalite Yönetim Sistemleri,Nebim Winner,Proje Yönetimi,11,
Gayrimenkul Yatýrým danýþmaný, -, -, -, Ýþletme, Ýktisat, Turizm ve Otel Ýþletmeciliði (MYO), Maliye, Dýþ Ticaret (MYO), Hizmet, Yapý, Danýþmanlýk, Finans - Ekonomi, Gýda, Anadolu Üniversitesi, Trakya Üniversitesi, Pamukkale Üniversitesi, Ankara Üniversitesi, Marmara Üniversitesi, Pazarlama Stratejisi,Satýþ Yönetimi,-, -, -, -,
Gazeteci, 2.500, 2.020, 3.020,Gazetecilik, Radyo - Sinema ve Televizyon, Halkla Ýliþkiler ve Tanýtým, Radyo ve Televizyon Programcýlýðý (MYO), Uluslararasý Ýliþkiler, Medya, Basým - Yayýn, Hizmet, Biliþim, Eðitim, Anadolu Üniversitesi, Erciyes Üniversitesi, Ýstanbul Üniversitesi (ÝÜ), Kocaeli Üniversitesi, Gazi Üniversitesi, Adobe Illustrator,Adobe Photoshop,CorelDraw,Photoshop,Sosyal Medya Yönetimi,6,
